ID,country,cost,AI,MP,CG,IS,NW,HW,Sec,Alg,Bio,Math,ects,grades,sat
S VASTERA01,Sweden,839.5964586488382,0,0,0,0,0,0,0,0,0,1,23,7,7.7526485722382725
IS REYKJAV05,Iceland,1427.0715315900193,0,0,0,0,0,0,0,0,0,1,27,5,4.63186307264782
IRL CORK01,Ireland,1004.9366738248835,0,0,1,0,0,0,0,0,0,0,17,9,6.704994258631996
HKG BAPT,HongKong,1242.791827953898,0,0,0,0,0,0,1,0,0,0,15,7,7.679426768636954
CZ PRAHA10,Czech,397.4370058223176,0,0,0,0,1,0,0,0,0,0,16,6,6.549902723512612
D TUBINGE01,Germany,817.3717731365937,0,0,0,0,0,0,0,0,1,0,29,9,6.836535467909108
IS REYKJAV05,Iceland,1451.3218367279267,0,0,0,1,0,0,0,0,0,0,17,7,5.719741446629318
E BARCELO01,Spain,866.4059340772585,1,0,0,0,0,0,0,0,0,0,18,8,7.211827537280308
IRL DUBLIN27,Ireland,1028.594547601239,0,1,0,0,0,0,0,0,0,0,21,6,7.567359994414543
CZ PRAHA07,Czech,413.391531690358,0,0,0,1,0,0,0,0,0,0,16,9,8.80495745730415
E VALENCI02,Spain,805.2535653373941,0,0,0,0,0,0,0,1,0,0,16,9,6.285663469300547
E BARCELO01,Spain,843.6600643097845,0,1,0,0,0,0,0,0,0,0,17,9,8.879765152171801
F LILLE01,France,648.9453712237769,0,1,0,0,0,0,0,0,0,0,17,8,8.069692374389808
IRL CORK01,Ireland,1037.8769668995903,0,0,0,0,0,0,0,1,0,0,28,6,6.42497911401384
D DARMSTA02,Germany,870.1370687245334,0,0,0,0,0,0,0,0,0,1,25,5,5.826598634823126
EE TALLINN04,Estonia,382.606042603141,0,0,0,0,0,1,0,0,0,0,20,9,6.990810322639396
D MUNCHEN01,Germany,868.9060383249184,1,0,0,0,0,0,0,0,0,0,25,9,8.340903144655377
D KARLSRU01,Germany,958.286482459165,1,0,0,0,0,0,0,0,0,0,25,7,5.312313435658044
A KLAGENF01,Austria,844.9836814837239,0,0,0,0,1,0,0,0,0,0,21,9,5.692350839524509
TR ANKARA04,Turkey,483.3244653168498,0,0,0,0,1,0,0,0,0,0,28,8,7.241831766865804
CZ PRAHA07,Czech,387.05411145628216,0,0,0,0,0,0,0,1,0,0,18,9,8.476117311159499
I BARI05,Italy,814.8904514089704,0,0,0,0,0,0,0,0,0,1,21,7,6.4025044954710895
S LULEA01,Sweden,831.7525032827382,0,1,0,0,0,0,0,0,0,0,24,9,9.007809962262412
D BERLIN02,Germany,810.1977391810605,0,0,0,0,0,0,0,0,1,0,20,7,6.085642945861157
S MALMO01,Sweden,883.1448728404087,0,1,0,0,0,0,0,0,0,0,21,6,7.008078563675951
PL KRAKOW02,Poland,385.31133199742186,0,0,0,0,0,0,0,0,0,1,21,9,9.965414345925192
D DARMSTA02,Germany,809.9212854343839,0,0,0,0,1,0,0,0,0,0,28,5,6.9781862758489375
EE TALLINN04,Estonia,452.00643942808654,0,0,0,1,0,0,0,0,0,0,22,5,4.862376608402267
P COIMBRA01,Portugal,738.7897835484667,0,0,0,0,0,1,0,0,0,0,28,8,5.523224089544641
S VASTERA01,Sweden,915.9357133257183,0,0,0,0,1,0,0,0,0,0,19,5,7.769745397515667
S VASTERA01,Sweden,910.0137136225187,0,0,1,0,0,0,0,0,0,0,17,7,7.563126825543791
EE TALLINN04,Estonia,425.7763607200847,1,0,0,0,0,0,0,0,0,0,26,8,8.095620224446009
F PARIS001,France,592.4875212429963,0,0,0,0,0,1,0,0,0,0,27,9,8.408649795074913
D MUNCHEN01,Germany,819.0627407049498,0,0,0,1,0,0,0,0,0,0,26,9,7.4667478064881765
EE TALLINN04,Estonia,440.24128200261816,0,0,0,0,1,0,0,0,0,0,21,6,7.079973065735763
S VASTERA01,Sweden,877.265367631664,0,0,1,0,0,0,0,0,0,0,15,7,7.500535446533719
Daegu,Korea,975.1962763881113,0,0,0,0,0,0,1,0,0,0,26,8,6.826273072005011
D TUBINGE01,Germany,932.9699513115447,0,0,0,0,0,0,0,0,1,0,27,7,5.7813686550136
E BARCELO01,Spain,769.0360867786653,0,1,0,0,0,0,0,0,0,0,21,9,7.584796497668741
D TUBINGE01,Germany,829.7282065856573,0,1,0,0,0,0,0,0,0,0,25,6,7.143296200752954
B LEUVEN01,Belgium,424.0803929610115,0,0,0,1,0,0,0,0,0,0,25,7,5.860390224412538
S LULEA01,Sweden,902.9735272095988,0,0,0,0,0,1,0,0,0,0,22,5,6.191238305029276
IS REYKJAV05,Iceland,1507.008434794968,0,0,0,0,0,0,0,1,0,0,25,5,5.825233175598328
IRL DUBLIN27,Ireland,960.661794402204,0,0,0,0,0,0,0,0,0,1,19,6,7.776198043649016
D DARMSTA02,Germany,886.7623933725438,0,0,0,0,0,0,1,0,0,0,16,8,6.24913490865438
E VALENCI02,Spain,790.8633418382685,0,0,0,0,0,0,0,0,0,1,17,6,6.388250654800356
A KLAGENF01,Austria,814.9759993062733,0,0,0,0,0,0,1,0,0,0,23,5,6.889168718426621
D ERLANGE01,Germany,841.2760065908988,0,0,0,0,0,0,0,0,1,0,18,8,9.108861756458483
PL KRAKOW02,Poland,401.7462054701894,0,0,0,0,0,0,1,0,0,0,19,9,7.927964958691187
HKG BAPT,HongKong,1189.6422367937773,0,0,0,0,0,0,0,0,1,0,17,7,4.674620166551373
I ROMA01,Italy,843.2129387092822,0,0,0,0,0,0,0,1,0,0,24,5,5.881975316373228
D KARLSRU01,Germany,855.4285198309329,0,0,0,0,0,0,0,1,0,0,18,5,6.9289962256117485
NL NIJMEGE01,Netherlands,936.1327835854819,0,0,0,0,0,0,0,0,0,1,26,5,5.354002074497797
A KLAGENF01,Austria,775.6099174344831,0,0,1,0,0,0,0,0,0,0,22,8,8.63991035489629
I PADOVA01,Italy,824.7744790357658,0,0,0,0,1,0,0,0,0,0,22,7,5.72941801207381
D DARMSTA02,Germany,956.2184574623609,0,0,0,0,0,0,0,0,1,0,28,9,6.689520613482112
D ERLANGE01,Germany,811.8414199960491,0,0,0,0,1,0,0,0,0,0,22,9,8.75438017081844
EE TALLINN04,Estonia,405.1591670313071,0,0,0,0,0,0,0,1,0,0,22,8,8.465593359190262
S VASTERA01,Sweden,835.0967109688107,0,0,0,0,1,0,0,0,0,0,27,9,7.9169404077695065
A KLAGENF01,Austria,880.0354953694429,0,0,0,0,0,0,0,1,0,0,26,9,6.710531955636877
Daegu,Korea,888.2005550291602,0,1,0,0,0,0,0,0,0,0,21,9,8.066044791261792
A KLAGENF01,Austria,769.0049035882698,0,0,0,0,0,0,0,0,1,0,16,8,9.375532028851522
I ROMA01,Italy,762.7002382206413,0,0,0,0,0,1,0,0,0,0,29,8,8.070348286216795
CZ BRNO05,Czech,453.38257778607294,0,0,0,0,0,0,0,1,0,0,21,8,8.748517855544906
D TUBINGE01,Germany,819.8546592068617,0,1,0,0,0,0,0,0,0,0,26,6,7.163712523261544
NL NIJMEGE01,Netherlands,1008.2746172354721,0,0,0,0,0,0,0,0,1,0,19,8,7.634572554534295
D MUNCHEN01,Germany,869.8547377681116,0,0,0,0,0,0,0,0,1,0,21,8,6.490937446916854
IRL DUBLIN27,Ireland,1064.324307333976,0,0,0,0,0,0,0,0,1,0,15,6,7.184952454624954
A GRAZ02,Austria,806.6680390804893,0,0,0,0,0,0,0,1,0,0,16,6,5.039252771134532
IRL DUBLIN27,Ireland,1066.0798683755481,0,0,0,0,0,0,0,1,0,0,25,6,6.245082301024456
HKG BAPT,HongKong,1327.0630125630132,1,0,0,0,0,0,0,0,0,0,24,6,6.612879015111151
I BARI05,Italy,825.7111554111281,0,0,0,1,0,0,0,0,0,0,28,5,6.696231346552482
D TUBINGE01,Germany,863.419104179722,0,0,0,0,0,1,0,0,0,0,29,7,7.525641450705695
E VALENCI02,Spain,850.793651283946,0,0,0,0,0,0,0,0,0,1,19,5,5.344903797857111
D BERLIN02,Germany,902.1639819227214,0,1,0,0,0,0,0,0,0,0,26,5,6.169862191356752
I ROMA01,Italy,836.587894307347,0,0,0,0,0,0,0,0,1,0,28,7,7.443146054247272
S MALMO01,Sweden,825.7786506989104,0,0,0,0,1,0,0,0,0,0,26,8,8.850472674831357
D TUBINGE01,Germany,839.4556795298078,0,0,0,1,0,0,0,0,0,0,18,8,8.155724512348174
HKG BAPT,HongKong,1342.3197908235754,0,0,0,0,0,1,0,0,0,0,25,9,9.16855994580261
S MALMO01,Sweden,885.1102303938484,0,0,0,0,0,0,0,0,0,1,15,8,8.878543117998829
CZ PRAHA10,Czech,452.95515849850153,0,0,0,0,0,1,0,0,0,0,18,7,7.592501966382409
S MALMO01,Sweden,919.0952107549306,0,1,0,0,0,0,0,0,0,0,21,5,5.597276310404111
A KLAGENF01,Austria,867.7306001345934,0,0,0,0,0,0,0,1,0,0,24,7,6.070428894324006
IS REYKJAV05,Iceland,1636.0131830675434,0,0,0,0,0,0,1,0,0,0,24,7,7.262503746092722
P COIMBRA01,Portugal,705.4366192344243,0,0,1,0,0,0,0,0,0,0,24,6,6.274103095072716
E VALENCI02,Spain,809.3017920566748,0,0,0,0,0,0,0,0,1,0,22,9,5.446953032214666
I BARI05,Italy,916.205165354802,0,0,1,0,0,0,0,0,0,0,21,8,7.155981806587855
CZ PRAHA10,Czech,382.39497392590283,0,0,0,0,0,0,0,1,0,0,18,6,6.8458766193374885
NL NIJMEGE01,Netherlands,932.0522335909428,0,0,0,0,0,0,0,0,1,0,17,7,7.884495887501651
NL NIJMEGE01,Netherlands,928.6636424646823,0,0,1,0,0,0,0,0,0,0,23,6,6.062704549621603
D ERLANGE01,Germany,970.973341047276,0,0,0,1,0,0,0,0,0,0,28,9,7.108852547338112
D DARMSTA02,Germany,853.5788534339163,1,0,0,0,0,0,0,0,0,0,24,8,6.531780214172292
E VALENCI02,Spain,777.9999368970738,0,0,0,0,0,1,0,0,0,0,22,5,6.9681317527745215
B LEUVEN01,Belgium,453.3010293140038,0,0,0,0,0,0,0,0,0,1,29,7,5.8145189079165185
